,stop_name,platform_code,asw_node_id,asw_stop_id,asw_ids
0,Boletická,A,1,1,1_1
1,Boletická,B,1,2,1_2
2,Břetislavka,A,3,1,3_1
3,Břetislavka,A,3,1,3_1
4,Břetislavka,B,3,2,3_2
5,Břetislavka,B,3,2,3_2
6,Arbesovo náměstí,A,4,1,4_1
7,Arbesovo náměstí,B,4,2,4_2
8,Arbesovo náměstí,C,4,3,4_3
9,Arbesovo náměstí,D,4,4,4_4
10,Nové Vokovice,B,5,2,5_2
11,Dolnokřeslická,A,6,1,6_1
12,Dolnokřeslická,B,6,2,6_2
13,Baba I,A,9,1,9_1
14,Baba I,B,9,2,9_2
15,Baba II,A,10,1,10_1
16,Baba II,B,10,2,10_2
17,Násirovo náměstí,A,11,1,11_1
18,Násirovo náměstí,B,11,2,11_2
19,Balabenka,A,12,1,12_1
20,Balabenka,B,12,2,12_2
21,Balabenka,C,12,3,12_3
22,Balabenka,F,12,6,12_6
23,Balabenka,G,12,7,12_7
24,Balkán,A,13,1,13_1
25,Balkán,B,13,2,13_2
26,Baně,A,14,1,14_1
27,Baně,B,14,2,14_2
28,Baně,B,14,2,14_2
29,Baterie,A,15,1,15_1
30,Baterie,B,15,2,15_2
31,Basilejské náměstí,A,16,1,16_1
32,Basilejské náměstí,B,16,2,16_2
33,Lehárova,A,17,1,17_1
34,Lehárova,B,17,2,17_2
35,Bazar,A,18,1,18_1
36,Bazar,A,18,1,18_1
37,Bazar,B,18,2,18_2
38,Bazar,B,18,2,18_2
39,Belárie,A,19,1,19_1
40,Belárie,B,19,2,19_2
41,Belárie,51,19,51,19_51
42,Belárie,H8,19,52,19_52
43,Královský letohrádek,A,20,1,20_1
44,Královský letohrádek,B,20,2,20_2
45,Sídliště Letňany,A,21,1,21_1
46,Sídliště Letňany,B,21,2,21_2
47,K Lipanům,A,22,1,22_1
48,K Lipanům,A,22,1,22_1
49,K Lipanům,B,22,2,22_2
50,K Lipanům,B,22,2,22_2
51,Benkova,A,23,1,23_1
52,Benkova,B,23,2,23_2
53,Na Beránku,A,24,1,24_1
54,Na Beránku,A,24,1,24_1
55,Na Beránku,B,24,2,24_2
56,Na Beránku,B,24,2,24_2
57,Bertramka,A,25,1,25_1
58,Bertramka,B,25,2,25_2
59,Betonárka,A,26,1,26_1
60,Betonárka,A,26,1,26_1
61,Betonárka,B,26,2,26_2
62,Betonárka,B,26,2,26_2
63,Sídliště Jinonice,A,27,1,27_1
64,Sídliště Jinonice,B,27,2,27_2
65,Běchovice,A,28,1,28_1
66,Běchovice,B,28,2,28_2
67,Běchovice,C,28,3,28_3
68,Běchovice,D,28,4,28_4
69,Bělocerkevská,A,29,1,29_1
70,Bělocerkevská,B,29,2,29_2
71,Bělocerkevská,C,29,3,29_3
72,Sídliště Horní Počernice,A,30,1,30_1
73,Sídliště Horní Počernice,B,30,2,30_2
74,Bílá Hora,A,31,1,31_1
75,Bílá Hora,B,31,2,31_2
76,Bílá Hora,C,31,3,31_3
77,Bílá Hora,D,31,4,31_4
78,Bílá Hora,E,31,5,31_5
79,Bílá Hora,F,31,6,31_6
80,Bílá Hora,G,31,7,31_7
81,Bílá Hora,G,31,7,31_7
82,Bílá Hora,H,31,8,31_8
83,Bílá Hora,H,31,8,31_8
84,Bílá labuť,A,32,1,32_1
85,Bílá labuť,B,32,2,32_2
86,Bílý Beránek,A,33,1,33_1
87,Bílý Beránek,B,33,2,33_2
88,Bílý Beránek,C,33,3,33_3
89,Bílý Beránek,D,33,4,33_4
90,Biskupcova,A,34,1,34_1
91,Biskupcova,B,34,2,34_2
92,Biskupcova,C,34,51,34_51
93,Blatnická,A,35,1,35_1
94,Blatnická,A,35,1,35_1
95,Blatnická,B,35,2,35_2
96,Blatnická,B,35,2,35_2
97,Blatov,A,36,1,36_1
98,Blatov,B,36,2,36_2
99,Bohdalec,A,37,1,37_1
100,Bohdalec,B,37,2,37_2
101,Staré Bohnice,B,38,2,38_2
102,Staré Bohnice,C,38,3,38_3
103,Bojasova,A,39,1,39_1
104,Bojasova,B,39,2,39_2
105,Na Pískách,A,40,1,40_1
106,Na Pískách,B,40,2,40_2
107,Na Pískách,F,40,6,40_6
108,Botanická zahrada,A,42,1,42_1
109,Botanická zahrada,B,42,2,42_2
110,Brechtova,A,43,1,43_1
111,Brechtova,B,43,2,43_2
112,Břevnovská,A,44,1,44_1
113,Břevnovská,B,44,2,44_2
114,Bruselská,A,45,1,45_1
115,Bruselská,B,45,2,45_2
116,Brusnice,A,46,1,46_1
117,Brusnice,B,46,2,46_2
118,Brusnice,C,46,3,46_3
119,Brusnice,D,46,4,46_4
120,Blatiny,A,47,1,47_1
121,Blatiny,B,47,2,47_2
122,Blatiny,C,47,3,47_3
123,Blatiny,D,47,4,47_4
124,Argentinská,A,48,1,48_1
125,Argentinská,B,48,2,48_2
126,Argentinská,C,48,3,48_3
127,Geologická,A,49,1,49_1
128,Geologická,B,49,2,49_2
129,Geologická,C,49,3,49_3
130,Geologická,D,49,4,49_4
131,Geologická,E,49,5,49_5
132,Budějovická,A,50,1,50_1
133,Budějovická,B,50,2,50_2
134,Budějovická,F,50,3,50_3
135,Budějovická,C,50,4,50_4
136,Poliklinika Budějovická,P,50,5,50_5
137,Poliklinika Budějovická,L,50,6,50_6
138,Budějovická,I,50,7,50_7
139,Budějovická,I,50,7,50_7
140,Budějovická,J,50,8,50_8
141,Budějovická,D,50,9,50_9
142,Poliklinika Budějovická,N,50,13,50_13
143,Budějovická,H,50,15,50_15
144,Poliklinika Budějovická,H,50,17,50_17
145,Budějovická,A,50,84,50_84
146,Budějovická,1,50,101,50_101
147,Budějovická,2,50,102,50_102
148,Sportareál Satalice,A,51,1,51_1
149,Sportareál Satalice,A,51,1,51_1
150,Sportareál Satalice,B,51,2,51_2
151,Sportareál Satalice,B,51,2,51_2
152,Chodov,C,52,1,52_1
153,Chodov,F,52,2,52_2
154,Chodov,B,52,4,52_4
155,Chodov,A,52,5,52_5
156,Chodov,2,52,102,52_102
157,Chodov,1,52,101,52_101
158,Budovec,A,53,1,53_1
159,Budovec,B,53,2,53_2
160,Bulovka,A,54,1,54_1
161,Bulovka,B,54,2,54_2
162,Bulovka,C,54,3,54_3
163,Bulovka,D,54,4,54_4
164,Bulovka,E,54,5,54_5
165,Bulovka,F,54,6,54_6
166,Bulovka,F,54,6,54_6
167,Bulovka,F,54,76,54_76
168,Šimůnkova,A,55,1,55_1
169,Šimůnkova,B,55,2,55_2
170,Šimůnkova,C,55,3,55_3
171,Kuliška,A,56,1,56_1
172,Kuliška,B,56,2,56_2
173,Cementárna Radotín,A,57,1,57_1
174,Cementárna Radotín,A,57,1,57_1
175,Cementárna Radotín,B,57,2,57_2
176,Cementárna Radotín,B,57,2,57_2
177,Nádraží Cibulka,A,58,1,58_1
178,Nádraží Cibulka,B,58,2,58_2
