,asw_ids,stop_platform
0,1_1,Boletická A
1,1_2,Boletická B
2,3_1,Břetislavka A
4,3_2,Břetislavka B
6,4_1,Arbesovo náměstí A
7,4_2,Arbesovo náměstí B
8,4_3,Arbesovo náměstí C
9,4_4,Arbesovo náměstí D
10,5_2,Nové Vokovice B
11,6_1,Dolnokřeslická A
12,6_2,Dolnokřeslická B
13,9_1,Baba I A
14,9_2,Baba I B
15,10_1,Baba II A
16,10_2,Baba II B
17,11_1,Násirovo náměstí A
18,11_2,Násirovo náměstí B
19,12_1,Balabenka A
20,12_2,Balabenka B
21,12_3,Balabenka C
22,12_6,Balabenka F
23,12_7,Balabenka G
24,13_1,Balkán A
25,13_2,Balkán B
26,14_1,Baně A
27,14_2,Baně B
29,15_1,Baterie A
30,15_2,Baterie B
31,16_1,Basilejské náměstí A
32,16_2,Basilejské náměstí B
33,17_1,Lehárova A
34,17_2,Lehárova B
35,18_1,Bazar A
37,18_2,Bazar B
39,19_1,Belárie A
40,19_2,Belárie B
41,19_51,Belárie 51
42,19_52,Belárie H8
43,20_1,Královský letohrádek A
44,20_2,Královský letohrádek B
45,21_1,Sídliště Letňany A
46,21_2,Sídliště Letňany B
47,22_1,K Lipanům A
49,22_2,K Lipanům B
51,23_1,Benkova A
52,23_2,Benkova B
53,24_1,Na Beránku A
55,24_2,Na Beránku B
57,25_1,Bertramka A
58,25_2,Bertramka B
59,26_1,Betonárka A
61,26_2,Betonárka B
63,27_1,Sídliště Jinonice A
64,27_2,Sídliště Jinonice B
65,28_1,Běchovice A
66,28_2,Běchovice B
67,28_3,Běchovice C
68,28_4,Běchovice D
69,29_1,Bělocerkevská A
70,29_2,Bělocerkevská B
71,29_3,Bělocerkevská C
72,30_1,Sídliště Horní Počernice A
73,30_2,Sídliště Horní Počernice B
74,31_1,Bílá Hora A
75,31_2,Bílá Hora B
76,31_3,Bílá Hora C
77,31_4,Bílá Hora D
78,31_5,Bílá Hora E
79,31_6,Bílá Hora F
80,31_7,Bílá Hora G
82,31_8,Bílá Hora H
84,32_1,Bílá labuť A
85,32_2,Bílá labuť B
86,33_1,Bílý Beránek A
87,33_2,Bílý Beránek B
88,33_3,Bílý Beránek C
89,33_4,Bílý Beránek D
90,34_1,Biskupcova A
91,34_2,Biskupcova B
92,34_51,Biskupcova C
93,35_1,Blatnická A
95,35_2,Blatnická B
97,36_1,Blatov A
98,36_2,Blatov B
99,37_1,Bohdalec A
100,37_2,Bohdalec B
101,38_2,Staré Bohnice B
102,38_3,Staré Bohnice C
103,39_1,Bojasova A
104,39_2,Bojasova B
105,40_1,Na Pískách A
106,40_2,Na Pískách B
107,40_6,Na Pískách F
108,42_1,Botanická zahrada A
109,42_2,Botanická zahrada B
110,43_1,Brechtova A
111,43_2,Brechtova B
112,44_1,Břevnovská A
113,44_2,Břevnovská B
114,45_1,Bruselská A
115,45_2,Bruselská B
116,46_1,Brusnice A
117,46_2,Brusnice B
118,46_3,Brusnice C
119,46_4,Brusnice D
120,47_1,Blatiny A
121,47_2,Blatiny B
122,47_3,Blatiny C
123,47_4,Blatiny D
124,48_1,Argentinská A
125,48_2,Argentinská B
126,48_3,Argentinská C
127,49_1,Geologická A
128,49_2,Geologická B
129,49_3,Geologická C
130,49_4,Geologická D
131,49_5,Geologická E
132,50_1,Budějovická A
133,50_2,Budějovická B
134,50_3,Budějovická F
135,50_4,Budějovická C
136,50_5,Poliklinika Budějovická P
137,50_6,Poliklinika Budějovická L
138,50_7,Budějovická I
140,50_8,Budějovická J
141,50_9,Budějovická D
142,50_13,Poliklinika Budějovická N
143,50_15,Budějovická H
144,50_17,Poliklinika Budějovická H
145,50_84,Budějovická A
146,50_101,Budějovická 1
147,50_102,Budějovická 2
148,51_1,Sportareál Satalice A
150,51_2,Sportareál Satalice B
152,52_1,Chodov C
153,52_2,Chodov F
154,52_4,Chodov B
155,52_5,Chodov A
156,52_102,Chodov 2
157,52_101,Chodov 1
158,53_1,Budovec A
159,53_2,Budovec B
160,54_1,Bulovka A
161,54_2,Bulovka B
162,54_3,Bulovka C
163,54_4,Bulovka D
164,54_5,Bulovka E
165,54_6,Bulovka F
167,54_76,Bulovka F
168,55_1,Šimůnkova A
169,55_2,Šimůnkova B
170,55_3,Šimůnkova C
171,56_1,Kuliška A
172,56_2,Kuliška B
173,57_1,Cementárna Radotín A
175,57_2,Cementárna Radotín B
177,58_1,Nádraží Cibulka A
178,58_2,Nádraží Cibulka B
179,59_1,Cikánka A
180,59_2,Cikánka B
181,60_1,Cílkova A
182,60_2,Cílkova B
183,61_1,Ciolkovského A
184,61_2,Ciolkovského B
185,62_1,Cukrovar Modřany A
186,63_1,Cukrovar Čakovice A
187,63_2,Cukrovar Čakovice B
188,64_1,Čakovice A
190,64_2,Čakovice B
191,64_3,Čakovice C
193,64_6,Čakovice F
194,65_1,Čakovická A
195,65_2,Čakovická B
196,66_1,Čechova škola A
197,66_2,Čechova škola B
198,67_2,Čechovo náměstí B
199,67_7,Čechovo náměstí G
200,68_1,Čechův most A
201,68_2,Čechův most B
202,69_2,Černínova B
203,70_1,Nové Strašnice A
204,70_2,Nové Strašnice B
205,70_6,Nové Strašnice F
206,70_7,Nové Strašnice G
207,71_1,Černý kůň A
208,71_2,Černý kůň B
209,71_3,Černý kůň C
210,71_4,Černý kůň D
211,71_5,Černý kůň E
212,71_6,Černý kůň F
213,72_1,Lehovec A
214,72_2,Lehovec B
215,72_3,Lehovec C
216,72_4,Lehovec D
218,72_5,Lehovec E
220,73_1,Červený Vrch A
